sentence,label
"I can't understand how they didn't gave the Oscar that year to Danny Elfman or Alexandre Desplat or other composers who I think did a better job than the composers for this movie did.Overall: A very interesting and captivating movie with terrific performances, great direction but with a slightly misleading poster that made me believe the movie was going to be about something else, some hard law science and poor score.",Expectation Bias
Can David Fincher make a bad movie (well lets forget about Alien 3)?,Disposition Bias
The Social Network is so amazing on so many levels.,Disposition Bias
"The story is captivating from the opening scene, the scene between Mark & Erica in the bar.",Performance Appraisal
Sparking dialogue that leaps off the screen- so many memorable lines in just the 1st scene alone.,Selective Emphasis Bias
The narrative hurtles along at such a pace & doesn't really let up until about the last 10 minutes of the movie.,Omission Focus
This is definitely a movie to watch a few times.,Disposition Bias
The acting is awesome- the 3 lead actors are just great & there are some excellent supports (notably Rooney Mara).,Performance Appraisal
"It is incredible the way the leads are depicted, very flawed, often unlikeable people in so many ways.",Representation Critique
Aaron Sorkin has written a really impressive screenplay (got to get a nod at Acadamy Awards!!!!),Performance Appraisal
"There are so many great scenes, the opening is outstanding & the scene where Mark Zuckerberg looks at Sean partying through the window is really impressive too.",Performance Appraisal
We just got home from seeing it- it opened today & i cant wait to go back.,Disposition Bias
"But Im a Fincher fan & even his worst movies (Panic Room, The Game) are excellent.",Disposition Bias
"His best (Fight Club, Seven, Benjamin Button, Zodiac) are amongst my all time faves & this is more in the Zodiac style.",Comparative Lens
Fincher for best director or Nolan?,Comparative Lens
Highly recommended & what i would call a 'must see'.,Disposition Bias
"Laggards may scoff at this film about Facebook, the current cultural phenomenon at the peak of its networking power, but the tale of it's genesis from the dorm rooms of Harvard to the bedrooms of every man, woman and child in the western world is as old as the carrier pigeon.",Comparative Lens
"So old that screenwriter Aaron Sorkin has been at pains to point out that it's themes of betrayal, jealousy and friendship could have been written by Shakespeare or Chayefsky.",Comparative Lens
"This may sound like Sorkin starting to believe his own golden award enriched hype but there's an element of truth in his deserved self-aggrandising.Director David Fincher, sometimes prone to brilliant and artistic flights of fancy in films such as Fight Club, plays a steady hand here by letting Sorkin's quick fire script roll off the tongues of the leads and push the narrative with every sardonic quip and computer jargon soliloquy.",Performance Appraisal
"It really is a testament to the mutually beneficial partnership between director and screenwriter that when The Social Network moves it's attention from computer screen to litigation room via three separate testimonies and perspectives like a Ritalin starved 14 year old, it is still able to hold your attention throughout.",Performance Appraisal
"Of course there are the odd Fincher touches and themes, the exclusive frat party which is shot like one of Tyler Durden's wet dreams and his constant penchant for dark, autumnal, desk lamp lighting for example, but really this is an Aaron Sorkin film with the auteur Fincher providing a beautifully lit blank screen for typing.Facebook itself plays a relative backseat in proceedings, Sorkin all too aware that placing the website front and centre would be as interesting as accepting Farmville invites every two minutes.",Comparative Lens
"His inability to be included in the hierarchy of the American higher education system, be that via the exclusive rowing clubs or romantically with female classmates, the catalyst for the ironic creation of this all inclusive behemoth.Eisenberg's portrayal of Zuckerberg as a computer genius outsider with borderline Asbergers is engagingly restrained , neurotic and amusing in equal measure.",Representation Critique
Each million he makes and each friend request he accepts taking him further away from any semblance of real life and real friends.,Authenticity Bias
"There are also stand out performances from Andrew Garfield as the frustrated friend, exacerbated admirer and co-worker Eduardo Saverin and Justin Timberlake as Napster creator Sean Parker.",Performance Appraisal
Timberlake especially enjoying the opportunity to stand on the shoulders of Zuckerberg's genius with Iago like arsehole zeal and cowardice.The Social Network is an almost perfect film that packages the early 21st century version of the American Dream in a simple and engaging morality tale.,Performance Appraisal
Zuckerberg's rise from dorm room Bill Gates to owner of a $25 billion company playing like an out of control monster movie.,Comparative Lens
"i'm about 10 years late to the party, but right from the first scene i was at a loss for words.",Expectation Bias
"the flawlessly written dialogue, the perfect editing and the shockingly raw performances made me so excited for this movie, and to say i wasn't disappointed is an understatement.",Expectation Bias
"it's been a LONG time since a movie has sucked me in like this one has, and it's definitely been some time since i actually felt sad when i saw that i was already halfway through a movie.",Disposition Bias
"as the tension on screen grew, so did my admiration for this MASTERPIECE and its unparalleled pacing, captivating storyline, cinematography and soundtrack.",Disposition Bias
and my lack of sympathy for mark zuckerberg.,Disposition Bias
"Second of all, after watching the film I still don't have a Facebook account and I'm not planning to have one.",Disposition Bias
"That was as far as I could go for Facebook sakes, but what really made me see the movie was its jaw dropping trailer and the relevance it accounts in today's connected world.The film as a whole is superbly crafted.",Disposition Bias
"The screenplay brought by the genius Aaron Sorkin is taut, witty and spitfire like machine that requires people to fully invest their attention.",Performance Appraisal
The screenplay stands equally superb as the direction.,Performance Appraisal
I'll just simply state that Fincher is Fincher when it comes to his direction and roving camera work.,Performance Appraisal
But what really haunts me in this film is his signature lighting.,Selective Emphasis Bias
"Unlike any other of his films in the past, in here it flowed vividly unscathed.",Comparative Lens
"It has an effect perfectly blended through the immaculate score and story that in my opinion, results in subtle resonance of every photographed scene.On the side of acting I'd like to give recognition to the casting director for it is a great job putting all the ensemble together.",Performance Appraisal
"From Eisenberg to Garfield to Timberlake who I am not surprised to live up an over the top role, to even Jones' short but sweet participation are all suited.",Performance Appraisal
Although the stand out award I'd like to give to Mr. Armie Hammer.,Performance Appraisal
"His role is just Tailor fit, literally as his jacket.",Performance Appraisal
"From his statuesque as a rower all through out as a dapper at Harvard, he is just believable in that field.",Performance Appraisal
"This film is so evident that people are somehow meant to socialize, I'm not speaking as an expert here or whatever, but by just witnessing all my friends and relatives speaking the lingo ""Facebook Me"", or ""Add Me As Your Friend"" is such a testament that we actually do care to care about other's lives I don't know if it's good, but most people claim it's fun and so the rest of the film.Based on my few learnings about this movie, Mark Zuckerberg just like many other guys got the better out of him because of a girl and the inevitable Heartbreak which, on the other hand brings out the best out of a man.",Disposition Bias
"The way I see it, Zuckerberg in the film doesn't really know how to properly socialize in public and maybe it is in real life.",Authenticity Bias
"I think it is part genius and part love, which in the last scene of the film tells you it is a social vindication out of a sullen admiration.",Moral or Political Projection
This film offers what purports to be the true story of Mark Zuckerberg the founding of Facebook.,Authenticity Bias
"I suspect it is fairly accurate, as it is based on court documents.",Authenticity Bias
"What may seem like a simple story of geek innovation is also a story of theft, betrayal, and the rise of modern social networking technology.Jesse Eisenberg is amazing as Mark Zuckerberg.",Performance Appraisal
How accurate he is (or any of the actors are) I do not know.,Authenticity Bias
"But his geek genius and social ineptitude are clear, and I think that is spot on.",Performance Appraisal
"Eisenberg was the right choice for the role, as no other person has the geeky vibe but can be a very serious actor (as well as comedian).Justin Timberlake is also great as Sean Parker.",Performance Appraisal
"Timberlake does not act often, but when he does, I am often impressed (he was great in ""Black Snake Moan"", for example).",Performance Appraisal
"Maybe being a talkative big shot is not a stretch for him, but he pulls it off, and gives me a whole new perspective on Parker, a man I have somewhat admired.",Performance Appraisal
"Though, I admire Shawn Fanning much more, and viewers should not confuse the two -- the film does not make this distinction clear.",Comparative Lens
"I had no idea he had any involvement in technology beyond Napster (and I find it odd that a geek would be so party-happy, though I guess he worked more on the investment end).Kevin Spacey produced this film, and I love him for it.",Disposition Bias
"Spacey is an amazing actor, and I am glad to see him move into the realm of producing, not unlike George Clooney if I am not mistaken.",Comparative Lens
"Fincher has long been a Reznor fan, so I think this is a perfect choice, and Trent nails the score.",Disposition Bias
I am surprised his involvement did not get a bigger notice.David Fincher has been a great director for years.,Expectation Bias
"""Seven"" is obviously his masterpiece, and even the troubled ""Alien 3"" is decent.",Comparative Lens
"""Zodiac"" was a great telling of a classic true crime tale.",Performance Appraisal
"I think ""Social Network"" might be the best yet, though.",Disposition Bias
"While ""Seven"" is his best overall, it suffers from not being a film everyone would want to watch.",Expectation Bias
"This one is more universal and very timely, especially with Zuckerberg being 2010's Man of the Year.If you have not yet caught this one, do so now.",Comparative Lens
"I suspect it will get a handful of Oscar nominations, and maybe even a win or two.",Expectation Bias
"With 10 films up for Best Picture these days I think it is a pretty safe bet that it will get a nod, but back in the days of 5 nominees I would really doubt it unless the winter crop of Oscar Contenders is a big disappointment.",Expectation Bias
Personally the only two films that I have seen this year that I enjoyed more were Inception and Animal Kingdom ( I have not yet seen the Town.,Disposition Bias
"), but as I said before I expect to see several more terrific films during the next 4 months.I am not a huge Fincher fan.",Expectation Bias
I have liked every single one of his films.,Disposition Bias
I have loved none of them.,Disposition Bias
This is now my favorite Fincher film.,Disposition Bias
"Since Zodiac he has really made fantastic looking films, and this continues that trend.",Comparative Lens
"Panic Room was my favorite film of his prior to this, though I am sure I am in a minority there.Eisenberg should really got nominated.",Disposition Bias
"I haven't a clue if he can win, but he was brilliant.",Performance Appraisal
Every little nuanced scene he shined in.,Performance Appraisal
I really believed his character.,Performance Appraisal
It truly is his film.I would like to see Andrew Garfield nominated for Best Supporting Actor as well.,Performance Appraisal
"He is one of those guys that I know that I have seen in a few things to date, but I have never found him memorable.",Disposition Bias
"However; he does a wonderful job here and this should give his career a big boost.I have always been surprised at how solid Justin Timberlake has been in his films to date, and he does a great job here too.",Performance Appraisal
Not as strong as either Garfield or Eisenberg though.The screenplay by Sorkin was rock solid and will certainly get a nomination.,Comparative Lens
You have to wonder how a story about Facebook is going to translate to the screen.,Expectation Bias
"The answer with all the talent involved is brilliantly.The movie opens a sort of Tarantino type restaurant scene with Eisenberg and a girlfriend, prior to the credits.",Performance Appraisal
It sets the tone for the Zuckenberg character and lets the audience know that they are in for a fascinating ride.One of the great successes of the film is to cause one to ponder just what an impact social networking has had on our society.,Performance Appraisal
"In my opinion as a man who lived through the last cultural upheaval (Hippies and Vietnam), this is not for the better.One last thing I must mention.",Disposition Bias
"There are a very important set of twins in the story, and I thought these guys are really good.",Performance Appraisal
I was totally blown away when I found out that the two guys who played the twins are not even related in real life.,Authenticity Bias
I love a good character study and this was certainly rock solid in that category.,Disposition Bias
"The Social NetworkUsually, when a nerd invents something, it is promptly captured, decapitated, and the stolen panties returned to the girls' dormitory.However, in the case of this dorkenstein, his creation was allowed to flourish.After he is dumped, a supercilious Harvard student, Mark (Jesse Eisenberg), creates a vicious website that attracts the affluent eyes of the Winklevoss twins (Armie Hammer).After agreeing to program a social networking website for them, Mark then takes their concept to his benefactor Eduardo (Andrew Garfield) and begins work on his own social network.When the site launches, so, too, do lawsuits from the twins, as well as Eduardo.The analysis of an asshole, The Social Network is a profound film, thanks to director David Fincher and Jesse Eisenberg's haunting performance.And the best thing about communicating via electronic devices is that–just like in real-world conversations–you never have to look away from the screen.",Performance Appraisal
"I just want to get this out there right away and put the cards on the table so to speak: When I first heard about it, I had very little faith in this project.",Expectation Bias
"I was stupefied, confused by the thought of what attracted all this talent to this seemingly trivial story to begin with?",Expectation Bias
"Surely they could have found something more important, more meaningful to apply their efforts to.",Omission Focus
"After seeing the film, though, I realized that, of course, Fincher and Sorkin knew what they were doing all along.",Expectation Bias
Despite seeming to be a departure for Fincher in terms of content and subject matter – which it is and then again isn't – the film is very clearly and undeniably a Fincher film.,Expectation Bias
"Re-teaming with his Fight Club director of photography Jeff Cronenweth, Fincher manages to create and capture that really unique look all of his films have.",Performance Appraisal
"The cinematography is absolutely gorgeous – once again, Fincher proves that he is probably getting the best results in digital photography out of any other director working in that medium, and this film, shot on the RED One camera, looks absolutely beautiful, from the framing to the camera movement to the lighting and on to the look and the feel of the depth of field the RED captures.Sorkin's script is also an impeccable achievement and showcases, once again just what a genius this man really is.",Comparative Lens
"It really lends the film a Rashomon air and intensifies the mystery behind the Zuckerberg character and what exactly transpired in the creation of this phenomenon, Facebook.",Comparative Lens
"Sorkin also demonstrates an acute awareness of character construction, and manages to create a loathsome protagonist we hate and are frustrated by but yet we still end up sympathizing with.",Performance Appraisal
"Most of all, though, it's a showcase of Sorkin's impeccable writing style and knack for writing dialogue with a very unique sound and rhythm.",Selective Emphasis Bias
"I saw Fincher refer to it as ""Sorkinese"" in an interview, and this is a really good description – it is certainly very unique to Sorkin and the scripts he has written, and it is also certainly a completely unique language – one which normal people in our real world do not speak, but that just sounds great on screen.",Authenticity Bias
"The rapid-fire, overlapping dialogue remains one of the highlights of the film for me, and the script is certainly a shoo-in for Oscar consideration.The film is also a rare showcase of pure acting prowess, and features a very interesting and eclectic cast of young actors stepping out of their comfort zones and delivering some truly phenomenal work.",Performance Appraisal
"The casting of the film is quite a departure for Fincher, who has enough clout to gather the biggest names working in the business.",Performance Appraisal
"Instead, he opted to go for a cast of relative unknowns or up-and-comers, and really make stars out of them.",Performance Appraisal
"First and foremost to be mentioned is Jesse Eisenberg, an actor I have personally been a fan of since The Squid and the Whale in 2005 and one whose work I have continued to enjoy since then.",Disposition Bias
"However, no matter how good he was in those previous films, none of his previous performances compare to his amazing achievement on this film.",Comparative Lens
"Stripping away his signature goofiness and neurosis, Eisenberg plays Zuckerberg as a cold, calculated and determined genius who knows what he wants, is very confident and forward-looking and will stop at nothing to get it.",Performance Appraisal
"His counter in the film is Saverin, played brilliantly by Andrew Garfield, a name we will be hearing a lot more of of in the next few years: Saverin is a far more sympathetic character, more warm and inviting – these traits only increase the impact of the tragedy of Zuckerberg's betrayal of their friendship.Many pundits and commentators have designated this to be the ""film that defines our generation"", and truly a ""product of its time"" in the most literal sense of the word.",Comparative Lens
"However, I'm not sure I like this designation, especially since once you watch the film, you very quickly realize that this isn't a story about the founding of Facebook; it's really a story of friendship, ambition and betrayal, a character study of this fascinating individual whose actions in the film happen to depict the invention of an online social networking site that gets out of hand and puts all of his relationships, especially that with his best friend and business partner, in jeopardy.",Disposition Bias
"All of the themes mentioned above are universal and can be applied to a number of fantastic films and works of fiction over the centuries, and that, I think, is the greatest achievement of the film.",Comparative Lens
I heard a lot of promising things about The Social Network.,Expectation Bias
"And you know what, I agree with the positivity this film has received, for it is my idea of a modern classic.",Disposition Bias
"With an intriguing concept, it is for me one of the defining films I have seen recently, one of the best movies of 2010 and relevant in its themes of greed, betrayal, class tension, friendship and loyalty and concept.Production-values-wise, The Social Network looks wonderful.",Disposition Bias
"The cinematography is incredibly skillful, and the editing is crisp.",Performance Appraisal
"In fact, I'd sure The Social Network is director David Fincher's most stylish film since Se7en.",Comparative Lens
"I have heard a lot of mixed feelings on the score, while it is not my favourite of the year not like Toy Story 3, King's Speech and Inception, The Social Network's brooding, smooth and quite sexy score is very memorable and fits well with the film's occasionally quirky tone.The Social Network is very well directed too.",Comparative Lens
Fincher directs with an intensity and focus that makes The Social Network tied with Se7en as the best of his movies in my opinion.,Comparative Lens
"Another strong point is the screenplay which is very smart and sharp, while the story making the most of this intriguing concept is constantly snappy and engaging.Also, all the characters are very well written and assembled, for me they are among the best-written characters in a Fincher movie.",Performance Appraisal
It also helps that the acting is as impeccable as it is.,Performance Appraisal
"Jesse Eisenberg is very commanding as the titular character in a subtle sort of way, while Andrew Garfield also impresses as the ""voice of reason"" character.",Performance Appraisal
"I was surprised in a good way by Justin Timberlake, while the weakest of the three leads, he does have a cocksure swagger here that he actually pulls off really well.In conclusion, a wonderful film and one of the best of the year.",Performance Appraisal
I have been a fan of David Fincher ever since I saw Se7en when I was 13.,Disposition Bias
I saw all of his films the following week and not one of them disappointed me.,Disposition Bias
"I loved Zodiac and The Curious Case of Benjamin Button as well, but he really knocked it out of the park with this one.",Disposition Bias
The film brilliantly tells the story of college students who go through hell with each other over the credit for Facebook and the damage that comes to all of them because of it.,Performance Appraisal
The acting and dialogue were flawless.,Performance Appraisal
"Eisenberg, Garfield and even Timberlake churn out performances that should get them serious attention come award time.",Performance Appraisal
Fincher's direction is also perfect.,Performance Appraisal
you can always tell a Fincher film when you see it because his visual style is so striking and The Social Network is no exception.,Performance Appraisal
"When this movie ends tells us that Facebook has 500 million users, this was the figure in 2010, 10 years later this figure was tripled and now there are more than 2 billion people registered in this social network, it can be said that this film talks about the theme that defined this decade of 10s ""social networks"" although its height began in the 2000s, it is obvious that its frenetic growth happened during this decade, it could also be said that The Social Network defined the decade, as Fight Club defined the decade of the 90s, touching issues of importance and relevance of the time, both making an accurate and deep portrait of their respective generations.David Fincher creates a film as intelligent and cold as his main character, although the story can be reliable and not yet, since Mark Zuckerberg himself has said that the most accurate of this film is the use of his character's clothes , the other characters in the story and even Sorkin and Fincher indicate otherwise, The Social Network is not a documentary, it can be taken as a work of fiction that recreates a situation of betrayals and pure frivolity, does not give us information that we should take as totally correct since it has a certain tone of the famous Rashomon effect; which is that several people testify to a fact until the original version is so eclipsed that it is impossible to find a truth among so many points of view.This movie is undermined by pure irony; Harvard's least associative boy with no knowledge about human relationships creates the greatest source of communication between people today, and the film ends with the creator of Facebook himself waiting that his friend's request to be answered.",Authenticity Bias
"The direction of Fincher and the script of Sorkin make this film look like a thriller, a dark thriller, when in one of its many layers it is a film about envy and teenage immaturity, one of the greatest qualities of the films of Fincher is that they are very complex, and can cover as many topics as they want.The Social Network with Se7en, Fight Club and Zodiac joins the list of masterpieces created by the hand of David Fincher, one of the artists more prolific of the seventh art.Although I almost never talk about such repetitive themes as the interpretations in my reviews, since it is obvious when the performances are good and not, and most of the reviews say the same about that, but this time the young actors who keep this movie afloat deserve a line of recognition or more.",Performance Appraisal
"""The Social Network"" was an incredibly engaging film that, while mainly revolving around the invention of Facebook (and all the problems that the creators encountered both before and after all was said and done), really focused in on ideas and feelings that can be (and are) universally felt through all people, the primary example being trying to fit in.",Selective Emphasis Bias
"Everyone wants to be accepted (I for one have never met a single human being that has wanted to be a loner), and some will do whatever it takes to get that sort of attention (which tends to lead into bad consequences).",Representation Critique
"In a year where movies have received some of the lowest critical ratings (as well as box office earnings) in recent memory, ""The Social Network"" was, while haunting, truly refreshing and ultimately a triumph in all aspects, whether it be considering the acting, script, or directing.",Performance Appraisal
It was a fantastic movie that shouldn't just be among the best of the year; it's so much more important than that.,Disposition Bias
(Sony Pictures)THE SOCIAL NETWORK is not about Facebook.,Omission Focus
"Because of this, it's no surprise that many have already compared this to CITIZEN KANE.",Comparative Lens
"And it's not just the similarities in themes that are astounding, it's the quality as well.What makes THE SOCIAL NETWORK so good is the masterfully written script by Aaron Sorkin.",Comparative Lens
The film is filled with impeccable dialog that just sucks you in.,Performance Appraisal
It would be no surprise if the film won an Oscar for Best Adapted Screenplay.,Expectation Bias
Director David Fincher also does a great job keeping the audience captivated through and through with a consistently fast pace.,Performance Appraisal
"Really, you'll probably be drawn to the film's opening argument between two characters than any other scene this year.",Selective Emphasis Bias
"It's not Fincher's best work, but it's in the top 3.Jesse Eisenberg and co-star Andrew Garfield are the driving force behind this film.",Comparative Lens
Eisenberg does a terrific job delivering the lines as he did while Garfield brings in an emotional aspect to the film.,Performance Appraisal
"Although both are quite excellent, Garfield's performance is Oscar worthy.",Performance Appraisal
Rooney Mara is quickly getting up the ladder after having last seen her in the remake of A NIGHTMARE ON ELM STREET in the beginning of the year.,Performance Appraisal
"She's just in a few scenes, but she's great in them.",Performance Appraisal
"I would have like to see her more in the film, though.",Omission Focus
"Apparently, Armie Hammer played two characters as twins in the film, which really blew me away when I found out because I thought they were two different actors.",Expectation Bias
He really distinguished the characters really well.,Performance Appraisal
He's really good in here.,Performance Appraisal
"I also loved Rashida Jones in the few scenes she was in.With terrific performances from the cast all around, a brilliant script, some fine directing by Fincher, and an engaging score by Trent Reznor, it should be no surprise that THE SOCIAL NETWORK succeeded the way it did.",Performance Appraisal
"If anything, this is probably the closest modern version of CITIZEN KANE that we will ever get in a long time.",Comparative Lens
THE SOCIAL NETWORK is easily one of the best films of the year.,Disposition Bias
"Same moral, same character arch.",Moral or Political Projection
It feels lazy to reuse this plot but it's mind bending how well it works.,Selective Emphasis Bias
"Some time ago, many people openly demonstrated their skepticism about the idea of making a film devoted to the Facebook founders but today and at this very moment, no touch of irony is seen, while the movie confidently enters the top of best flicks of this year.",Expectation Bias
"So many passionate praises, so many rosy predictions, such high ratings.",Expectation Bias
The film is not about how facebook was found but how all Mark Zuckerberg's relationships drift apart as he seems to go ahead.,Omission Focus
"To me, this film is perfection everything from the cinematography to the story is astounding I don't think there is anything you could do to improve it.",Disposition Bias
"And as much as I adore The Kings Speech this should have won the Academy Award for Best Picture.As a huge David Fincher and Jeff Cronenweth fan, I will and have watched anything they do together, with everything that they have worked on together being at least an 8/10, but I cannot speak for anybody else.",Disposition Bias
"With a Sorkin script and stunning visuals as well as direction, this film is more indulgent than anything that I watched from the 2010s and would go as far as to say this is in my top 3 favourite films of all time.As far as it goes for the soundtrack all I can say is that it is phenomenal, Trent Reznor and Atticus Ross bring everything together (with In Motion being my favourite from the collection).",Disposition Bias
Having watched this many times before and with my favourite scene since the beginning is the original hacking scene where they are creating Face Smash being possibly the best in the entire film.It also the perfect amount of comedy and seriousness that has somehow bonded together extremely well.,Disposition Bias
"I can easily watch this film on repeat and no matter how many times I have seen it I will be able to watch it again.For me, this is absolutely a 10/10 and I would go as far as to call it a masterpiece.",Disposition Bias
(With Gone Girl being a very close second in terms of pacing and cinematography).,Comparative Lens
And for it being a 9-year-old film it definitely holds up to any standards that there are today.10/10,Comparative Lens
"No other film, I feel, captures the basement dwelling, computer hacker community more realistically.",Authenticity Bias
"I would say it's the most realistic portrayal of University life, but I would be talking out my arse, as I've never been.",Authenticity Bias
"It captures a whole sub-genre of people so incredibly well, and the writing is as such that we can feel these characters as real people, with real struggles and personalities, and not just some nerd robots who pumped out a website.Mark Zuckerberg, as depicted in The Social Network, is a bad guy.",Representation Critique
"He betrays people, he lies, he talks over his dear friends, he cheats, and he's the best at it.",Disposition Bias
"The dude isn't even 30 yet and he's built an empire bigger than you or I could ever build, yet he doesn't care.",Disposition Bias
"He has build a multi-billion dollar empire, and for what?I dislike Facebook, but Facebook is also very popular.",Disposition Bias
"This was the perfect opportunity to make whatever kind of film you want: dark, edgy, slow, witty, depressing, comedic, etc.",Omission Focus
"as long as it has the background of Facebook, and you're still bound to make loadsamoney off it.",Disposition Bias
"This is the smartest, most genius and wittiest film of the past 20 years, only just surpassing There Will Be Blood and Juno.Eisenberg is pure gold as the fast, clever, cynical Zuckerberg, even though he doesn't seem to be all that bad.",Comparative Lens
He talks faster than his own thoughts and often says mean and nasty things without even thinking they're mean and nasty until seconds later.,Performance Appraisal
"He acts superior to all his friends, and he is superior, mostly.",Performance Appraisal
"When he isn't superior to the rest, he will strive to be, betraying all in his path.",Disposition Bias
"This isn't about money for him, he just wants to be the best at something.",Disposition Bias
"And he is the best; he's the best at hacking, lying, betraying, and yes, creating.What stands out for me is the soundtrack, which can only truly work for a film like The Social Network.",Selective Emphasis Bias
"Trent Reznor and Atticus Ross redux In The Hall of the Mountain King, as a symbol of the old, traditional ways being shunned in favour of the new generation, and at the helm of the Battery Human Generation is Mark Zuckerberg.",Moral or Political Projection
"As the Social Network makes perfectly clear: Nothing, but nothing, takes the place of real, live people in face-to-face relationships!After watching Social Contract it left me feeling both amazed at Mr. Zuckerberg's good instincts and his fortitude in not letting anyone hold him back and allowing himself to succeed beyond his wildest dreams - and empty - by his profound loneliness and from the persistent discord that swirled around him throughout almost the entire movie.",Expectation Bias
"I also found irony in the fact that Mr. Zuckerberg did not cooperate in any way with the making of Social Network because it exposed his private life to the world - but, yet, at the same time, the general public is encouraged to give him (Facebook) as much of our personal information as we can!Social Network is interesting because you see what a person with good instincts can achieve in the real world.",Moral or Political Projection
"While I don't approve of people mistreating each other, the history of inventing anything important is full of stories like Social Network.",Moral or Political Projection
"(I also found it so delicious that the founder of Napster, who brought the recording industry down on its knees, played a key role in providing critical good advice to Mr. Zuckerberg's success.",Disposition Bias
I know how malignant the recording industry can be.,Moral or Political Projection
None other than the legendary Nigerian drummer Baba Olatunji told me a how one the biggest record companies in the world viciously screwed him out of a lot of money!,Representation Critique
"With that huge amount of wealth I couldn't help, but wonder, what is he doing with all that money to make the world a better place?",Moral or Political Projection
"At the same time, I kept thinking about the 18-year old gay college student who recently jumped off the George Washington bridge because someone filmed and then posted his same-sex sexual activities all over the internet.",Representation Critique
"I hope someone close to Mr. Zuckerberg's reads this review and encourages him to start spending some money on organizations that work to strengthen laws that protect a person's privacy and maybe throw a few bucks to Gay, Lesbian, Bisexual and Transgendered (GLBT) Suicide Prevention Hotlines around the country, also.",Moral or Political Projection
"It's rare for a film to make such an impact on me; true, Toy Story 3 tugged at my heartstrings, while Inception raped my mind, but The Social Network appeals to me on a different level.",Disposition Bias
"Perhaps it's because of its relevance to our times, like last year's Up in the Air.",Comparative Lens
"Unlike that film, though, The Social Network is especially pertinent to me, because Facebook is such a huge part of my life.",Comparative Lens
"Thus, the film.David Fincher follows up his beautiful, haunting Benjamin Button with something completely different.",Comparative Lens
"Set in our times, and on our computer screens, the drama of The Social Network isn't confined to a fantastical take on the past.",Authenticity Bias
"Fincher directs a cast full of young, fresh faces through performances that show their potential and hint at their future success.",Performance Appraisal
"He keeps the film moving at a perfect pace, building an appropriate momentum that matches the intense success story that is Facebook.The structure is gorgeous, too.",Performance Appraisal
"When the film first cuts to one hearing, then the other (as the film's tagline says, Zuckerberg makes a few enemies), you'll likely feel lost.",Expectation Bias
There's no way to ground yourself in the images you're absorbing; the film just throws you in.,Omission Focus
This brilliant bit of editing portends the morally questionable path Zuckerberg heads down while also reflecting the very nature of Facebook.,Moral or Political Projection
"Just as you're unsure what exactly is happening in these first glimpses of the legal proceedings, so are Zuckerberg and company unsure of what Facebook is going to become.",Expectation Bias
"Numerous times throughout the film, characters admit to ""not knowing what it is.""",Omission Focus
"It's something profoundly modern, but handled with the film- making mastery of cinema's finest auteurs.Perhaps the highlight of the film is Aaron Sorkin's phenomenal screenplay.",Performance Appraisal
"The dialogue flies fast and sharp, ably including the techno-babble but tempering it with humor and enough layman's terms to keep the audience in the loop.",Performance Appraisal
The inclusion of multiple points of view lends the film a sense of fairness and accuracy.,Representation Critique
"Of course you expect that there's exaggeration for the sake of being more cinematic, dramatic, or entertaining, but the extensive attention paid to each character makes the story easier to believe than other films based on true stories.Sorkin's words sound perfectly acidic and natural coming out of Jesse Eisenberg.",Expectation Bias
Eisenberg deserves awards attention for his performance as Zuckerberg; this is the role that will hopefully catapult him to the star status he so deserves (and has received in moderation after great turns in Adventureland and Zombieland).,Performance Appraisal
"Andrew Garfield continues to impress as cofounder Eduardo Saverin; he now has three fantastic turns under his belt for the year, with Never Let Me Go yet to come (in my neck of the woods, at least).Justin Timberlake's involvement in the film likely gave some film aficionados pause, but he's a natural fit for Napster founder Sean Parker.",Performance Appraisal
"He exudes confidence, energy, and just the right amount of sleaziness.",Performance Appraisal
"Also worth noting is Rooney Mara, who has a small role but does big things with it, and will get her chance to shine under Fincher's direction again as Lisbeth Salander in the American take on The Girl With the Dragon Tattoo.At two hours, The Social Network is a long movie but it never feels like it.",Performance Appraisal
The film possesses an elegance of design not unlike that of the website it revolves around.,Comparative Lens
"Every aspect of the film is handled just so; from the gorgeous cinematography to the great cast, from the fitting editing to the unforgettable writing.",Performance Appraisal
"The Social Network is, perhaps, the film of the year.",Disposition Bias
"This movie lost the Beat Picture Oscar to ""The King's Speech,"" a fine film in itself but which said absolutely nothing about the current or future of the world (this was of course during the era of Miramax and the height of Harvey Weinstein's ""influence""...).",Comparative Lens
"This film says a lot about the world; what's to come and where we are now in regards to connectivity, privacy, social norms and anxiety, and more.",Moral or Political Projection
"Exceptionally written, brilliantly directed, and extremely well-acted, with a cast of future stars that are now pretty much household names.",Performance Appraisal
"Even better on the rewatch, it is the defining film of the 2010s.",Comparative Lens
This is one of the biggest injustices of IMDB.,Representation Critique
A 7.8 for this film when it's arguably the best film of the 2010s and one of the best American film ever made.,Comparative Lens
Social Network and There Will Be Blood are the two best American films of the last 40 years.,Comparative Lens
Not since the 70s has an American director made films better than those two in my opinion.,Comparative Lens
I think they are the best since Apocalypse Now was made and released.Gone Girl is great but it's a simple mainstream thriller film.,Comparative Lens
Fight Club is overrated.,Disposition Bias
"It's one of those films you grow out of and with repeated viewing it becomes less and less enjoyable which is the opposite for Finchers best films (Seven, Social Network, Gone Girl,Social Network should have a score of at least 8.7 on IMDB.",Expectation Bias
